LISTA_SETOR,SUBSETOR,ITEM_CHECKLIST,DESC_EVEREST,EST_MIN,U.M.
HORTIFRUTI,HORTIFRUTI,HORT CEBOLA ROXA KG (KG),HORT CEBOLA ROXA KG,12,KG
HORTIFRUTI,HORTIFRUTI,HORT CEBOLETE MACO (UNID),HORT CEBOLETE MACO,14,UNID
HORTIFRUTI,HORTIFRUTI,HORT CEBOLINHA MACO (UNID),HORT CEBOLINHA MACO,27,UNID
HORTIFRUTI,HORTIFRUTI,HORT CENOURA KG (KG),HORT CENOURA KG,27,KG
HORTIFRUTI,HORTIFRUTI,HORT CHUCHU KG (KG),HORT CHUCHU KG,10,KG
HORTIFRUTI,HORTIFRUTI,HORT COENTRO MACO (UNID),HORT COENTRO MACO,4,UNID
HORTIFRUTI,HORTIFRUTI,HORT COUVE FLOR UNIDADE (UNID),HORT COUVE FLOR UNIDADE,4,UNID
HORTIFRUTI,HORTIFRUTI,HORT COUVE MACO (UNID),HORT COUVE MACO,5,UNID
HORTIFRUTI,HORTIFRUTI,HORT FLOR COMESTIVEL BANDEJA (UNID),HORT FLOR COMESTIVEL BANDEJA,14,UNID
HORTIFRUTI,HORTIFRUTI,HORT GENGIBRE KG (KG),HORT GENGIBRE KG,6,KG
HORTIFRUTI,HORTIFRUTI,HORT HORTELA MACO (UNID),HORT HORTELA MACO,5,UNID
HORTIFRUTI,HORTIFRUTI,HORT LARANJA BAHIA KG (KG),HORT LARANJA BAHIA KG,3,KG
HORTIFRUTI,HORTIFRUTI,HORT LARANJA KG (KG),HORT LARANJA KG,120,KG
HORTIFRUTI,HORTIFRUTI,HORT LIMAO SICILIANO KG (KG),HORT LIMAO SICILIANO KG,8,KG
HORTIFRUTI,HORTIFRUTI,HORT LIMAO TAHITI KG (KG),HORT LIMAO TAHITI KG,120,KG
HORTIFRUTI,HORTIFRUTI,HORT MACA VERDE KG (KG),HORT MACA VERDE KG,2,KG
HORTIFRUTI,HORTIFRUTI,HORT MANDIOCA DESCASCADA (KG),HORT MANDIOCA DESCASCADA,14,KG
HORTIFRUTI,HORTIFRUTI,HORT MANGA KG (KG),HORT MANGA KG,7,KG
HORTIFRUTI,HORTIFRUTI,HORT MANJERICAO MACO (UNID),HORT MANJERICAO MACO,2,UNID
HORTIFRUTI,HORTIFRUTI,HORT MARACUJA KG (KG),HORT MARACUJA KG,32,KG
HORTIFRUTI,HORTIFRUTI,HORT MELANCIA KG (KG),HORT MELANCIA KG,29,KG
HORTIFRUTI,HORTIFRUTI,HORT MILHO VERDE KG (KG),HORT MILHO VERDE KG,10,KG
HORTIFRUTI,HORTIFRUTI,HORT MORANGO BANDEJA (UNID),HORT MORANGO BANDEJA,60,UNID
HORTIFRUTI,HORTIFRUTI,HORT NABO UNIDADE (UNID),HORT NABO UNIDADE,5,UNID
HORTIFRUTI,HORTIFRUTI,HORT PEPINO JAPONES KG (KG),HORT PEPINO JAPONES KG,5,KG
HORTIFRUTI,HORTIFRUTI,HORT PIMENTA DEDO DE MOCA KG (KG),HORT PIMENTA DEDO DE MOCA KG,3,KG
HORTIFRUTI,HORTIFRUTI,HORT PIMENTAO AMARELO KG (KG),HORT PIMENTAO AMARELO KG,4,KG
HORTIFRUTI,HORTIFRUTI,HORT PIMENTAO VERMELHO KG (KG),HORT PIMENTAO VERMELHO KG,4,KG
HORTIFRUTI,HORTIFRUTI,HORT REPOLHO ROXO KG (KG),HORT REPOLHO ROXO KG,3,KG
HORTIFRUTI,HORTIFRUTI,HORT RUCULA MACO (UNID),HORT RUCULA MACO,7,UNID
HORTIFRUTI,HORTIFRUTI,HORT SALSA CRESPA MACO (UNID),HORT SALSA CRESPA MACO,5,UNID
HORTIFRUTI,HORTIFRUTI,HORT SALSA MACO (UNID),HORT SALSA MACO,26,UNID
HORTIFRUTI,HORTIFRUTI,HORT SALVIA MACO (UNID),HORT SALVIA MACO,14,UNID
HORTIFRUTI,HORTIFRUTI,HORT TOMATE CEREJA KG (KG),HORT TOMATE CEREJA KG,26,KG
HORTIFRUTI,HORTIFRUTI,HORT TOMATE KG (KG),HORT TOMATE KG,26,KG
HORTIFRUTI,HORTIFRUTI,HORT TOMILHO MACO (UNID),HORT TOMILHO MACO,13,UNID
HORTIFRUTI,HORTIFRUTI,HORT UVA KG (KG),HORT UVA KG,5,KG
LIMPEZA,MATERIAIS DE PRIMEIRO USO,LIMP AGUA SANITARIA CAIXA/12 (UNID),LIMP AGUA SANITARIA CAIXA/12,1,UNID
LIMPEZA,MATERIAIS DE PRIMEIRO USO,LIMP ALCOOL GEL 5L (UNID),LIMP ALCOOL GEL 5L,1,UNID
LIMPEZA,MATERIAIS DE PRIMEIRO USO,LIMP CITRONELA 1L (UNID),LIMP CITRONELA 1L,2,UNID
LIMPEZA,MATERIAIS DE PRIMEIRO USO,LIMP DESINCRUSTANTE G-105 5L (UNID),LIMP DESINCRUSTANTE G-105 5L,1,UNID
LIMPEZA,MATERIAIS DE PRIMEIRO USO,LIMP DESINFETANTE 2L (UNID),LIMP DESINFETANTE 2L,4,UNID
LIMPEZA,MATERIAIS DE PRIMEIRO USO,LIMP DESINFETANTE G-117 5L (UNID),LIMP DESINFETANTE G-117 5L,1,UNID
LIMPEZA,MATERIAIS DE PRIMEIRO USO,LIMP DETERGENTE CLORADO TD-CL 5L (UNID),LIMP DETERGENTE CLORADO TD-CL 5L,1,UNID
LIMPEZA,MATERIAIS DE PRIMEIRO USO,LIMP DETERGENTE CONCENTRADO TD-NC 5L (UNID),LIMP DETERGENTE CONCENTRADO TD-NC 5L,1,UNID
LIMPEZA,MATERIAIS DE PRIMEIRO USO,LIMP DETERGENTE MAQUINA 20L (UNID),LIMP DETERGENTE MAQUINA 20L,1,UNID
LIMPEZA,MATERIAIS DE PRIMEIRO USO,LIMP DETERGENTE NEUTRO CAIXA/24 (UNID),LIMP DETERGENTE NEUTRO CAIXA/24,1,UNID
LIMPEZA,MATERIAIS DE PRIMEIRO USO,LIMP ESCOVA DE ACO (UNID),LIMP ESCOVA DE ACO,2,UNID
LIMPEZA,MATERIAIS DE PRIMEIRO USO,LIMP ESPONJA DUPLA FACE PCT/10 (UNID),LIMP ESPONJA DUPLA FACE PCT/10,2,UNID
LIMPEZA,MATERIAIS DE PRIMEIRO USO,LIMP FIBRACO PACOTE (UNID),LIMP FIBRACO PACOTE,1,UNID
LIMPEZA,MATERIAIS DE PRIMEIRO USO,LIMP GUARDANAPO CAIXA (UNID),LIMP GUARDANAPO CAIXA,4,UNID
LIMPEZA,MATERIAIS DE PRIMEIRO USO,LIMP LUVA NITRILICA CAIXA/100 (UNID),LIMP LUVA NITRILICA CAIXA/100,2,UNID
LIMPEZA,MATERIAIS DE PRIMEIRO USO,LIMP PAPEL HIGIENICO CAIXA (UNID),LIMP PAPEL HIGIENICO CAIXA,2,UNID
LIMPEZA,MATERIAIS DE PRIMEIRO USO,LIMP PAPEL HIGIENICO CLIENTE CAIXA (UNID),LIMP PAPEL HIGIENICO CLIENTE CAIXA,2,UNID
LIMPEZA,MATERIAIS DE PRIMEIRO USO,LIMP PAPEL TOALHA INTERFOLHADO CAIXA (UNID),LIMP PAPEL TOALHA INTERFOLHADO CAIXA,2,UNID
LIMPEZA,MATERIAIS DE PRIMEIRO USO,LIMP PAPEL TOALHA ROLO CAIXA (UNID),LIMP PAPEL TOALHA ROLO CAIXA,2,UNID
LIMPEZA,MATERIAIS DE PRIMEIRO USO,LIMP PERFEX (UNID),LIMP PERFEX,2,UNID
LIMPEZA,MATERIAIS DE PRIMEIRO USO,LIMP SABONETE BACT 5L (UNID),LIMP SABONETE BACT 5L,1,UNID
LIMPEZA,MATERIAIS DE PRIMEIRO USO,LIMP SABONETE ERVA DOCE CLIENTE 5L (UNID),LIMP SABONETE ERVA DOCE CLIENTE 5L,1,UNID
LIMPEZA,MATERIAIS DE PRIMEIRO USO,LIMP SACO ALVEJADO (UNID),LIMP SACO ALVEJADO,5,UNID
LIMPEZA,MATERIAIS DE PRIMEIRO USO,LIMP SACO LIXO 100 FD/100 (UNID),LIMP SACO LIXO 100 FD/100,2,UNID
LIMPEZA,MATERIAIS DE PRIMEIRO USO,LIMP SACO LIXO 200 FD/100 (UNID),LIMP SACO LIXO 200 FD/100,2,UNID
LIMPEZA,MATERIAIS DE PRIMEIRO USO,LIMP SACO LIXO 40 FD/100 (UNID),LIMP SACO LIXO 40 FD/100,1,UNID
LIMPEZA,MATERIAIS DE PRIMEIRO USO,LIMP SECANTE MAQUINA 20L (UNID),LIMP SECANTE MAQUINA 20L,1,UNID
LIMPEZA,MATERIAIS DE PRIMEIRO USO,LIMP TOUCA PACOTE (UNID),LIMP TOUCA PACOTE,4,UNID
PARRILLA,CONGELADA,MP PAO FRANCES (UNID),MP PAO FRANCES,60,UNID
PARRILLA,CONGELADA,PROD BACON FATIAS (KG),PROD BACON FATIAS,4,KG
PARRILLA,CONGELADA,PROD MANTEIGA DE ERVAS (KG),PROD MANTEIGA DE ERVAS,3,KG
PARRILLA,CONGELADA,PROD MOLHO GORGONZOLA (KG),PROD MOLHO GORGONZOLA,2.1,KG
PARRILLA,CONGELADA,PROD PASTRAMI FATIADO (KG),PROD PASTRAMI FATIADO,2,KG
PARRILLA,CONGELADA,PROD PROVOLETA (UNID),PROD PROVOLETA,14,UNID
PARRILLA,MATERIAIS DE PRIMEIRO USO,APV FOGO GEL PARRILLA (UNID),APV FOGO GEL PARRILLA,1,UNID
PARRILLA,REFRIGERADA,MP QUEIJO CHEDDAR FATIADO (KG),MP QUEIJO CHEDDAR FATIADO,8.16,KG
PARRILLA,REFRIGERADA,PROD CEBOLA CARAMELIZADA (KG),PROD CEBOLA CARAMELIZADA,2.4,KG
PARRILLA,REFRIGERADA,PROD GELEIA DE BACON (KG),PROD GELEIA DE BACON,2,KG
PARRILLA,REFRIGERADA,PROD MOLHO AIOLI (KG),PROD MOLHO AIOLI,5.6,KG
PARRILLA,REFRIGERADA,PROD MOLHO BBQ DA CASA (KG),PROD MOLHO BBQ DA CASA,10.5,KG
PARRILLA,REFRIGERADA,PROD MOLHO PESTO DE ERVAS (KG),PROD MOLHO PESTO DE ERVAS,6,KG
PARRILLA,SECOS,MP BLACK RUB (KG),MP BLACK RUB,1,KG
PARRILLA,SECOS,MP OREGANO (KG),MP OREGANO,1,KG
PARRILLA,SECOS,MP PAO BRIOCHE (UNID),MP PAO BRIOCHE,162,UNID
PARRILLA,SECOS,MP SAL ROSA (KG),MP SAL ROSA,2,KG
PARRILLA,SECOS,PROD TEMPERO CHIMICHURRI (KG),PROD TEMPERO CHIMICHURRI,3,KG
SECOS,MATERIAIS DE PRIMEIRO USO,APV ESPETO ROBATA PACOTE (UNID),APV ESPETO ROBATA PACOTE,3,UNID
SECOS,MATERIAIS DE PRIMEIRO USO,APV ETIQUETA DE PRODUTO MANIPULADO (UNID),APV ETIQUETA DE PRODUTO MANIPULADO,6,UNID
SECOS,MATERIAIS DE PRIMEIRO USO,APV GAS DE MACARICO (UNID),APV GAS DE MACARICO,8,UNID
SECOS,MATERIAIS DE PRIMEIRO USO,APV PAPEL ALUMINIO (UNID),APV PAPEL ALUMINIO,8,UNID
SECOS,MATERIAIS DE PRIMEIRO USO,APV PAPEL MANTEIGA FARDO (UNID),APV PAPEL MANTEIGA FARDO,2,UNID
SECOS,MATERIAIS DE PRIMEIRO USO,APV SAQUINHO CRISPY 10X15 PACOTE (UNID),APV SAQUINHO CRISPY 10X15 PACOTE,1,UNID
SECOS,MATERIAIS DE PRIMEIRO USO,EMB POTE PRODUCAO 1000ML (UNID),EMB POTE PRODUCAO 1000ML,48,UNID
SECOS,MATERIAIS DE PRIMEIRO USO,EMB SACO BOBINADO G ROLO (UNID),EMB SACO BOBINADO G ROLO,2,UNID
SECOS,MATERIAIS DE PRIMEIRO USO,EMB SACO BOBINADO M ROLO (UNID),EMB SACO BOBINADO M ROLO,3,UNID
SECOS,MATERIAIS DE PRIMEIRO USO,EMB VACUO 20X30 (UNID),EMB VACUO 20X30,20,UNID
SECOS,SECOS,FUNCIONARIO CAFE (KG),FUNCIONARIO CAFE,4,KG
SECOS,SECOS,FUNCIONARIO FEIJAO (KG),FUNCIONARIO FEIJAO,20,KG
SECOS,SECOS,FUNCIONARIO MACARRAO (KG),FUNCIONARIO MACARRAO,11,KG
SECOS,SECOS,MP ACUCAR REFINADO (KG),MP ACUCAR REFINADO,5,KG
SECOS,SECOS,MP ALCAPARRONES (KG),MP ALCAPARRONES,1,KG
SECOS,SECOS,MP ALGA NORI (KG),MP ALGA NORI,1.2600000000000002,KG
SECOS,SECOS,MP ALHO FRITO (KG),MP ALHO FRITO,2,KG
SECOS,SECOS,MP AMIDO DE MILHO (KG),MP AMIDO DE MILHO,1,KG
SECOS,SECOS,MP ARROZ ITALIANO (KG),MP ARROZ ITALIANO,90,KG
SECOS,SECOS,MP ARROZ SUSHI (KG),MP ARROZ SUSHI,60,KG
SECOS,SECOS,MP AZEITE EXTRA VIRGEM (LITRO),MP AZEITE EXTRA VIRGEM,15,LITRO
SECOS,SECOS,MP AZEITE EXTRA VIRGEM PAGANINE (LITRO),MP AZEITE EXTRA VIRGEM PAGANINE,6,LITRO
SECOS,SECOS,MP AZEITE TRUFADO (LITRO),MP AZEITE TRUFADO,2.75,LITRO
SECOS,SECOS,MP CANELA EM PO (KG),MP CANELA EM PO,0.5,KG
SECOS,SECOS,MP CASTANHA DE CAJU XEREM (KG),MP CASTANHA DE CAJU XEREM,1,KG
SECOS,SECOS,MP CHAMPIGNON CONSERVA (KG),MP CHAMPIGNON CONSERVA,4,KG
SECOS,SECOS,MP CREME AVELA (KG),MP CREME AVELA,3,KG
SECOS,SECOS,MP CREME DE LEITE (KG),MP CREME DE LEITE,25,KG
SECOS,SECOS,MP DOCE DE LEITE ARGENTINO (KG),MP DOCE DE LEITE ARGENTINO,28.8,KG
SECOS,SECOS,MP EXTRATO DE TOMATE (KG),MP EXTRATO DE TOMATE,4,KG
SECOS,SECOS,MP FARINHA BAIANA FLOCADA (KG),MP FARINHA BAIANA FLOCADA,50,KG
SECOS,SECOS,MP FARINHA DE TRIGO (KG),MP FARINHA DE TRIGO,14,KG
SECOS,SECOS,MP FARINHA PANKO (KG),MP FARINHA PANKO,7,KG
SECOS,SECOS,MP FARINHA PERNAMBUCANA AMARELA (KG),MP FARINHA PERNAMBUCANA AMARELA,50,KG
SECOS,SECOS,MP GENGIBRE EM CONSERVA (KG),MP GENGIBRE EM CONSERVA,9,KG
SECOS,SECOS,MP GERGELIM BRANCO (KG),MP GERGELIM BRANCO,4,KG
SECOS,SECOS,MP GERGELIM PRETO (KG),MP GERGELIM PRETO,2,KG
SECOS,SECOS,"MP GORDURA VEGETAL BALDE 14,5KG (UNID)","MP GORDURA VEGETAL BALDE 14,5KG",10,UNID
SECOS,SECOS,MP HONDASHI (KG),MP HONDASHI,3,KG
SECOS,SECOS,MP LEITE EM PO (KG),MP LEITE EM PO,2.4,KG
SECOS,SECOS,MP LEITE INTEGRAL (LITRO),MP LEITE INTEGRAL,5,LITRO
SECOS,SECOS,MP MACARRAO LINGUINE (KG),MP MACARRAO LINGUINE,20,KG
SECOS,SECOS,MP MACARRAO YAKISSOBA (KG),MP MACARRAO YAKISSOBA,20,KG
SECOS,SECOS,MP MAIONESE (KG),MP MAIONESE,2,KG
SECOS,SECOS,MP MANTEIGA DE GARRAFA (LITRO),MP MANTEIGA DE GARRAFA,2.4,LITRO
SECOS,SECOS,MP MISSO (KG),MP MISSO,4,KG
SECOS,SECOS,MP MOLHO SHOYU HINOMOTO (LITRO),MP MOLHO SHOYU HINOMOTO,40,LITRO
SECOS,SECOS,MP MOLHO SHOYU KIKKOMAN (LITRO),MP MOLHO SHOYU KIKKOMAN,40,LITRO
SECOS,SECOS,MP MOLHO SHOYU LIGHT (LITRO),MP MOLHO SHOYU LIGHT,40,LITRO
SECOS,SECOS,MP MOSTARDA GRAOS LANCIENNE (KG),MP MOSTARDA GRAOS LANCIENNE,1,KG
SECOS,SECOS,MP OLEO DE GERGELIM (LITRO),MP OLEO DE GERGELIM,4,LITRO
SECOS,SECOS,MP OLEO DE SOJA (LITRO),MP OLEO DE SOJA,36,LITRO
SECOS,SECOS,MP OVO (UNID),MP OVO,1440,UNID
SECOS,SECOS,MP PACOCA (KG),MP PACOCA,2,KG
SECOS,SECOS,MP PALMITO FATIADO EM CONSERVA (KG),MP PALMITO FATIADO EM CONSERVA,7,KG
SECOS,SECOS,MP PIMENTA REINO EM GRAO (KG),MP PIMENTA REINO EM GRAO,0.5,KG
SECOS,SECOS,MP PIMENTA TABASCO (LITRO),MP PIMENTA TABASCO,1.3199999999999998,LITRO
SECOS,SECOS,MP QUINOA GRAO (KG),MP QUINOA GRAO,6,KG
SECOS,SECOS,MP SAL REFINADO (KG),MP SAL REFINADO,10,KG
SECOS,SECOS,MP TEMPURA (KG),MP TEMPURA,3.5,KG
SECOS,SECOS,MP TONKATSU (LITRO),MP TONKATSU,5,LITRO
SECOS,SECOS,MP VINAGRE DE MACA (LITRO),MP VINAGRE DE MACA,0,LITRO
SECOS,SECOS,MP VINAGRE DE VINHO TINTO (LITRO),MP VINAGRE DE VINHO TINTO,3,LITRO
SECOS,SECOS,PROD CESTINHA DE HARUMAKI (UNID),PROD CESTINHA DE HARUMAKI,960,UNID
SECOS,SECOS,PROD SAL ROSA TEMPERADO (KG),PROD SAL ROSA TEMPERADO,2,KG
SUSHI,CONGELADA,MP BIT SALMAO DEFUMADO (KG),MP BIT SALMAO DEFUMADO,5,KG
SUSHI,CONGELADA,MP OVAS BLACK (KG),MP OVAS BLACK,1,KG
SUSHI,CONGELADA,MP OVAS ORANGE (KG),MP OVAS ORANGE,1,KG
SUSHI,CONGELADA,MP POLVO (KG),MP POLVO,2,KG
SUSHI,CONGELADA,PROD CAMARAO NIGUIRI (UNID),PROD CAMARAO NIGUIRI,200,UNID
SUSHI,CONGELADA,PROD GELEIA DE MARACUJA (KG),PROD GELEIA DE MARACUJA,7,KG
SUSHI,CONGELADA,PROD GELEIA DE PIMENTA (KG),PROD GELEIA DE PIMENTA,6,KG
SUSHI,CONGELADA,PROD GELEIA FRUTAS VERMELHAS (KG),PROD GELEIA FRUTAS VERMELHAS,4,KG
SUSHI,CONGELADA,PROD LEITE DE TIGRE (LITRO),PROD LEITE DE TIGRE,8,LITRO
SUSHI,CONGELADA,PROD LULA MARINADA (KG),PROD LULA MARINADA,15,KG
SUSHI,REFRIGERADA,MP QUEIJO BRIE (KG),MP QUEIJO BRIE,0,KG
SUSHI,REFRIGERADA,MP QUEIJO COALHO (KG),MP QUEIJO COALHO,3,KG
SUSHI,REFRIGERADA,PROD MOLHO TERIAKI (KG),PROD MOLHO TERIAKI,18.2,KG
SUSHI,SECOS,MP ACETO BALSAMICO (LITRO),MP ACETO BALSAMICO,2,LITRO
SUSHI,SECOS,MP AJINOMOTO GLUTAMATO (KG),MP AJINOMOTO GLUTAMATO,1,KG
SUSHI,SECOS,MP ALECRIM DESIDRATADO (KG),MP ALECRIM DESIDRATADO,0.5,KG
SUSHI,SECOS,MP FLOR DE SAL (KG),MP FLOR DE SAL,0.35,KG
SUSHI,SECOS,MP MEL SILVESTRE (KG),MP MEL SILVESTRE,1,KG
SUSHI,SECOS,MP MOLHO DE OSTRA VEGETARIANO (LITRO),MP MOLHO DE OSTRA VEGETARIANO,2,LITRO
SUSHI,SECOS,MP MOSTARDA AMARELA EM GRAOS (KG),MP MOSTARDA AMARELA EM GRAOS,1,KG
SUSHI,SECOS,MP NOZES S CASCA (KG),MP NOZES S CASCA,0.5,KG
SUSHI,SECOS,MP PASTA TAMARINDO (KG),MP PASTA TAMARINDO,2.88,KG
SUSHI,SECOS,MP PIMENTA SRIRACHA (LITRO),MP PIMENTA SRIRACHA,2,LITRO
SUSHI,SECOS,MP RAPADURA (KG),MP RAPADURA,3,KG
SUSHI,SECOS,MP SAKE MIRIN (L),MP SAKE MIRIN,5,LITRO
SUSHI,SECOS,MP SALSA DESIDRATADA (KG),MP SALSA DESIDRATADA,0.5,KG
SUSHI,SECOS,MP TEMPERO P SUSHI (LITRO),MP TEMPERO P SUSHI,5,LITRO
SUSHI,SECOS,MP TOMILHO DESIDRATADO (KG),MP TOMILHO DESIDRATADO,0.5,KG
SUSHI,SECOS,MP TORTILLA CHIPS (KG),MP TORTILLA CHIPS,1.08,KG
SUSHI,SECOS,MP WASABI (KG),MP WASABI,1,KG
BAR,BEBIDAS,LONGNECK STELLA PURE GOLD (UNID),LONGNECK STELLA PURE GOLD,48,UNID
VINHOS,BEBIDAS,ESP 1913 BRUT BRANCO 1/4 (UNID),ESP 1913 BRUT BRANCO 1/4,6,UNID
VINHOS,BEBIDAS,ESP 1913 BRUT ROSE 1/4 (UNID),ESP 1913 BRUT ROSE 1/4,6,UNID
VINHOS,BEBIDAS,ESP 1913 SPARKLING BRANCO (UNID),ESP 1913 SPARKLING BRANCO,8,UNID
VINHOS,BEBIDAS,ESP 1913 SPARKLING BRUT ROSE (UNID),ESP 1913 SPARKLING BRUT ROSE,6,UNID
VINHOS,BEBIDAS,ESP VULCANICI BRUT ROSE (UNID),ESP VULCANICI BRUT ROSE,4,UNID
VINHOS,BEBIDAS,VB ALEIXO GARCIA BRANCO 250ML (UNID),VB ALEIXO GARCIA BRANCO 250ML,10,UNID
VINHOS,BEBIDAS,VB ALEIXO RESERVA BAIRRADA DOC (UNID),VB ALEIXO RESERVA BAIRRADA DOC,3,UNID
VINHOS,BEBIDAS,VB ANDRE GOICHOT (UNID),VB ANDRE GOICHOT,2,UNID
VINHOS,BEBIDAS,VB CAMINITO TORRONTES BRANCO (UNID),VB CAMINITO TORRONTES BRANCO,8,UNID
VINHOS,BEBIDAS,VB CATENA ZAPATA CHARDONNAY (UNID),VB CATENA ZAPATA CHARDONNAY,2,UNID
VINHOS,BEBIDAS,VB CHAKA CHARDONNAY (UNID),VB CHAKA CHARDONNAY,6,UNID
VINHOS,BEBIDAS,VB COLLEZIONE PINOT GRIGIO (UNID),VB COLLEZIONE PINOT GRIGIO,4,UNID
VINHOS,BEBIDAS,VB JEAN BOUSQUET CHARDONNAY (UNID),VB JEAN BOUSQUET CHARDONNAY,6,UNID
VINHOS,BEBIDAS,VB MALACARA CHARDONNAY (UNID),VB MALACARA CHARDONNAY,6,UNID
VINHOS,BEBIDAS,VB TOSCANINI CLASSIC (UNID),VB TOSCANINI CLASSIC,8,UNID
VINHOS,BEBIDAS,VR CUVEE SIDOINE (UNID),VR CUVEE SIDOINE,3,UNID
VINHOS,BEBIDAS,VR LOVE PINK ROSE (UNID),VR LOVE PINK ROSE,4,UNID
VINHOS,BEBIDAS,VR MONTEIRO TORRES ROSADO (UNID),VR MONTEIRO TORRES ROSADO,4,UNID
VINHOS,BEBIDAS,VR STATE SPRING 4 ESTACIONES ROSE (UNID),VR STATE SPRING 4 ESTACIONES ROSE,6,UNID
VINHOS,BEBIDAS,VT ALEIXO GARCIA TINTO (UNID),VT ALEIXO GARCIA TINTO,6,UNID
VINHOS,BEBIDAS,VT ALEIXO GARCIA TINTO 250ML (UNID),VT ALEIXO GARCIA TINTO 250ML,10,UNID
VINHOS,BEBIDAS,VT ANGELICA ZAPATA (UNID),VT ANGELICA ZAPATA,2,UNID
VINHOS,BEBIDAS,VT CAMINITO CABERNET TINTO (UNID),VT CAMINITO CABERNET TINTO,8,UNID
VINHOS,BEBIDAS,VT CAMINITO MALBEC TINTO (UNID),VT CAMINITO MALBEC TINTO,16,UNID
VINHOS,BEBIDAS,VT CARTUXA COLHEITA (UNID),VT CARTUXA COLHEITA,4,UNID
VINHOS,BEBIDAS,VT CATENA ZAPATA (UNID),VT CATENA ZAPATA,2,UNID
VINHOS,BEBIDAS,VT CHAKA CABERNET (UNID),VT CHAKA CABERNET,5,UNID
VINHOS,BEBIDAS,VT CHAKA CARMENERE (UNID),VT CHAKA CARMENERE,5,UNID
VINHOS,BEBIDAS,VT COLLEZIONE PRIMITIVO (UNID),VT COLLEZIONE PRIMITIVO,3,UNID
VINHOS,BEBIDAS,VT DONOSO GROUP SATE CABERNET (UNID),VT DONOSO GROUP SATE CABERNET,5,UNID
VINHOS,BEBIDAS,VT ESPERANCA ALENTEJO (UNID),VT ESPERANCA ALENTEJO,5,UNID
VINHOS,BEBIDAS,VT FESTIVO MALBEC (UNID),VT FESTIVO MALBEC,4,UNID
VINHOS,BEBIDAS,VT JEAN BOUSQUET MALBEC (UNID),VT JEAN BOUSQUET MALBEC,5,UNID
VINHOS,BEBIDAS,VT LE PETIT MAYNNE BORDEAUX (UNID),VT LE PETIT MAYNNE BORDEAUX,2,UNID
VINHOS,BEBIDAS,VT MALACARA BONARDA (UNID),VT MALACARA BONARDA,4,UNID
VINHOS,BEBIDAS,VT MALACARA MALBEC (UNID),VT MALACARA MALBEC,4,UNID
VINHOS,BEBIDAS,VT PACHA RESERVA MERLOT (UNID),VT PACHA RESERVA MERLOT,2,UNID
VINHOS,BEBIDAS,VT PELLERITI RESERVE MALBEC SIGNATURE (UNID),VT PELLERITI RESERVE MALBEC SIGNATURE,2,UNID
VINHOS,BEBIDAS,VT PETITE FLEUR (UNID),VT PETITE FLEUR,2,UNID
VINHOS,BEBIDAS,VT QUEDATE CABERNET SAUVIGNON (UNID),VT QUEDATE CABERNET SAUVIGNON,4,UNID
VINHOS,BEBIDAS,VT QUINTA DA LACEIRA DOURO (UNID),VT QUINTA DA LACEIRA DOURO,2,UNID
VINHOS,BEBIDAS,VT ROSSO TOSCANA IGT IMPAZZIMENTO (UNID),VT ROSSO TOSCANA IGT IMPAZZIMENTO,2,UNID
VINHOS,BEBIDAS,VT STATE AUTUMN 4 ESTACIONES MALBEC (UNID),VT STATE AUTUMN 4 ESTACIONES MALBEC,5,UNID
VINHOS,BEBIDAS,VT TOSCANINI CLASSIC TANNAT (UNID),VT TOSCANINI CLASSIC TANNAT,5,UNID
VINHOS,BEBIDAS,VT URBAIN V COTES DU RHONE AOC (UNID),VT URBAIN V COTES DU RHONE AOC,0,UNID
VINHOS,BEBIDAS,VT YLLERA ROBLE D.O CASTILLA Y LEON (UNID),VT YLLERA ROBLE D.O CASTILLA Y LEON,2,UNID
