LISTA_SETOR,SUBSETOR,ITEM_CHECKLIST,DESC_EVEREST,EST_MIN,U.M.
BAR,BEBIDAS,REF AGUA TONICA (UNID),REF AGUA TONICA,48,UNID
BAR,BEBIDAS,REF AGUA TONICA DIET (UNID),REF AGUA TONICA DIET,48,UNID
BAR,BEBIDAS,REF COCA COLA (UNID),REF COCA COLA,255,UNID
BAR,BEBIDAS,REF COCA COLA ZERO (UNID),REF COCA COLA ZERO,516,UNID
BAR,BEBIDAS,REF GUARANA (UNID),REF GUARANA,108,UNID
BAR,BEBIDAS,REF GUARANA ZERO (UNID),REF GUARANA ZERO,120,UNID
BAR,BEBIDAS,REF H2OH LIMAO (UNID),REF H2OH LIMAO,60,UNID
BAR,BEBIDAS,REF PEPSI BLACK (UNID),REF PEPSI BLACK,96,UNID
BAR,CONGELADA,MP AMORA CONGELADA (KG),MP AMORA CONGELADA,5,KG
BAR,CONGELADA,MP MORANGO CONGELADO (KG),MP MORANGO CONGELADO,9,KG
BAR,MATERIAIS DE PRIMEIRO USO,APV BOLACHA DE CHOPP (UNID),APV BOLACHA DE CHOPP,100,UNID
BAR,MATERIAIS DE PRIMEIRO USO,APV CANUDO FINO CAIXA (CAIXA),APV CANUDO FINO CAIXA,1,UNID
BAR,MATERIAIS DE PRIMEIRO USO,APV CANUDO GROSSO BIO CAIXA (UNID),APV CANUDO GROSSO BIO CAIXA,1,UNID
BAR,MATERIAIS DE PRIMEIRO USO,APV CAPSULA DE GAS CAIXA (UNID),APV CAPSULA DE GAS CAIXA,3,UNID
BAR,MATERIAIS DE PRIMEIRO USO,APV CILINDRO GAS CHOPP (UNID),APV CILINDRO GAS CHOPP,2,UNID
BAR,MATERIAIS DE PRIMEIRO USO,APV MEXEDOR DE CAFE PACOTE (UNID),APV MEXEDOR DE CAFE PACOTE,1,UNID
BAR,MATERIAIS DE PRIMEIRO USO,EMB GARRAFA DELIVERY (UNID),EMB GARRAFA DELIVERY,100,UNID
BAR,REFRIGERADA,PROD PETIT FOUR (UNID),PROD PETIT FOUR,300,UNID
BAR,SECOS,MP ACUCAR CRISTAL (KG),MP ACUCAR CRISTAL,30,KG
BAR,SECOS,MP CRAVO (KG),MP CRAVO,0.2,KG
BAR,SECOS,MP EMULSIFICANTE (KG),MP EMULSIFICANTE,1,KG
BAR,SECOS,MP HIBISCO DESIDRATADO (KG),MP HIBISCO DESIDRATADO,1,KG
BAR,SECOS,MP LEITE DE COCO (LITRO),MP LEITE DE COCO,2,LITRO
BAR,SECOS,MP PIMENTA ROSA (KG),MP PIMENTA ROSA,0.25,KG
BAR,BEBIDAS,REF PEPSI TRADICIONAL (UNID),REF PEPSI TRADICIONAL,72,UNID
BAR,BEBIDAS,REF REDBULL MELANCIA (UNID),REF REDBULL MELANCIA,12,UNID
BAR,BEBIDAS,REF REDBULL SUGAR FREE (UNID),REF REDBULL SUGAR FREE,12,UNID
BAR,BEBIDAS,REF REDBULL TRADICIONAL (UNID),REF REDBULL TRADICIONAL,24,UNID
BAR,BEBIDAS,REF REDBULL TROPICAL (UNID),REF REDBULL TROPICAL,24,UNID
CARNES,CONGELADA,PO ANCHO 250G (UNID),PO ANCHO 250G,100,UNID
CARNES,CONGELADA,PO ASSADO DE TIRAS KG (KG),PO ASSADO DE TIRAS KG,4,KG
CARNES,CONGELADA,PO BOMBOM 250G (UNID),PO BOMBOM 250G,300,UNID
CARNES,CONGELADA,PO CHORIZO 250G (UNID),PO CHORIZO 250G,200,UNID
CARNES,CONGELADA,PO FILE 200G (UNID),PO FILE 200G,158,UNID
CARNES,CONGELADA,PO FLAT IRON 300G (UNID),PO FLAT IRON 300G,27,UNID
CARNES,CONGELADA,PO FRALDINHA 300G (UNID),PO FRALDINHA 300G,14,UNID
CARNES,CONGELADA,PO GALETO 400G (UNID),PO GALETO 400G,41,UNID
CARNES,CONGELADA,PO HAMBURGUER 150G (UNID),PO HAMBURGUER 150G,198,UNID
CARNES,CONGELADA,PO LINGUICA ARGENTINA (UNID),PO LINGUICA ARGENTINA,36,UNID
CARNES,CONGELADA,PO LINGUICA CAMINITO (UNID),PO LINGUICA CAMINITO,18,UNID
CARNES,CONGELADA,PO LINGUICA CERVEJA IPA (UNID),PO LINGUICA CERVEJA IPA,23,UNID
CARNES,CONGELADA,PO LINGUICA FORMIGA (UNID),PO LINGUICA FORMIGA,20,UNID
CARNES,CONGELADA,PO PEITO DE FRANGO 200G (UNID),PO PEITO DE FRANGO 200G,63,UNID
CARNES,CONGELADA,PO PRIME RIB KG (KG),PO PRIME RIB KG,5,KG
CARNES,CONGELADA,PO SALMAO 200G (UNID),PO SALMAO 200G,54,UNID
CARNES,CONGELADA,PROD COSTELINHA BBQ 300G (UNID),PROD COSTELINHA BBQ 300G,10,UNID
CARNES,CONGELADA,PROD COSTELINHA BBQ 600G (UNID),PROD COSTELINHA BBQ 600G,10,UNID
COZINHA,CONGELADA,FUNCIONARIO PAO (UNID),FUNCIONARIO PAO,20,UNID
COZINHA,CONGELADA,MP BACON CUBOS (KG),MP BACON CUBOS,26,KG
COZINHA,CONGELADA,MP BATATA CARINHAS (KG),MP BATATA CARINHAS,10.5,KG
COZINHA,CONGELADA,MP BATATA FRITA CONGELADA 7MM (KG),MP BATATA FRITA CONGELADA 7MM,72,KG
COZINHA,CONGELADA,MP BROCOLIS CONGELADO (KG),MP BROCOLIS CONGELADO,2,KG
COZINHA,CONGELADA,MP CAMARAO S/ CASCA 111/200 (KG),MP CAMARAO S/ CASCA 111/200,3,KG
COZINHA,CONGELADA,MP CAMARAO S/ CASCA 51/60 (KG),MP CAMARAO S/ CASCA 51/60,12,KG
COZINHA,CONGELADA,MP EMPANADA DE CARNE SUAVE (UNID),MP EMPANADA DE CARNE SUAVE,60,UNID
COZINHA,CONGELADA,MP ERVILHA CONGELADA (KG),MP ERVILHA CONGELADA,2,KG
COZINHA,CONGELADA,MP GUIOZA (UNID),MP GUIOZA,300,UNID
COZINHA,CONGELADA,MP KANIKAMA (KG),MP KANIKAMA,13,KG
